,CV1,CV2,CV3,CV4,CV5,Coherence1,Coherence2,Coherence3,Coherence4,Coherence5,Coherence6,Coherence7,Coherence8,Coherence9,Coherence10,Coherence11,Coherence12,Coherence13,Coherence14,Coherence15,Coherence16,Coherence17,Coherence18,Coherence19,Coherence20
LOGREG_L1_0.1,0.8358090186,0.8439904484,0.843725126,0.8217033696,0.832846909,-538.9743943038,-508.1432336766,-506.3168064285,-517.2116950927,-478.5270582886,-433.5091383722,-451.2789252609,-543.0940726333,-538.0436108568,-408.7774509125,-373.4513669309,-433.0889281064,-595.819429796,-529.2535831115,-511.8256502283,-507.6788167413,-558.3590054074,-539.4040698867,-521.8976604127,-574.1682647852
LOGREG_L1_1,0.8819628647,0.8882992836,0.8959936323,0.8713186522,0.8827275139,-524.7507614887,-487.9584213073,-512.0055192341,-471.8937109561,-501.6651145612,-497.7523133296,-649.4536518787,-486.3828228695,-545.2306340101,-418.8013226603,-546.4420067031,-487.3373468325,-473.966878557,-516.7466812445,-530.5634242193,-578.8722744982,-507.8035749267,-596.0903920102,-465.0877173905,-565.2543177184
LOGREG_L1_10,0.8872679045,0.8954629875,0.8962589546,0.8843194481,0.8912178297,-464.9672918569,-339.9850193256,-516.7953934491,-366.3910755154,-493.8966576578,-257.1063502465,-524.9251898007,-443.2003296354,-383.87438138,-393.9654671193,-144.700557512,-486.4067874305,-421.5674440223,-373.6541497028,-411.9613646386,-551.8556363029,-490.1148015856,-500.7509920132,-407.0581605665,-494.4094327965
LOGREG_L1_100,0.9015915119,0.9031573362,0.9058105598,0.8949323428,0.9007694349,-334.4884208882,-158.7569330086,-495.9451975297,-283.087037599,-384.6821355811,-91.2413313091,-474.9549100354,-386.7858919527,-236.0136660232,-458.1964401454,-111.2584317326,-424.0763902495,-177.0611541628,-358.9419861527,-340.6671695809,-547.4006841859,-423.3189246075,-383.6240433386,-341.1622879738,-443.3995725916
LOGREG_L2_0.1,0.9023872679,0.9068718493,0.9103210401,0.891483152,0.8970549217,-595.0708331912,-495.5825759258,-462.7058355298,-573.8103304544,-489.8132512847,-363.2922757163,-474.4731111674,-548.7382891968,-535.8011426887,-462.4679922452,-324.8520874726,-402.0915331886,-588.6623110596,-516.1592122031,-447.437604583,-508.6864113121,-527.3643086912,-539.7062202454,-532.8689607828,-616.4878438066
LOGREG_L2_1,0.9039787798,0.907402494,0.9103210401,0.8890952507,0.9002387901,-587.9919130354,-471.2938789522,-465.7100606092,-588.2373879458,-513.3283115151,-448.2401442698,-536.037785361,-566.5769513667,-503.5216964372,-498.1073137405,-422.0862682496,-363.2182186581,-600.0274773088,-499.4177805388,-577.3738422905,-572.1750292393,-550.8903130404,-550.28599653,-511.7758973147,-610.8247089988
LOGREG_L2_10,0.9029177719,0.9036879809,0.9087291059,0.8901565402,0.8981162112,-567.5230495939,-492.1400277093,-563.4839294334,-559.7869031017,-515.763695048,-410.0841329524,-586.1689035645,-579.3337699619,-501.414589739,-543.4056147905,-450.8230235513,-416.0641322993,-595.9245159174,-507.1836664952,-558.2735996709,-497.4403083036,-544.9636840341,-536.8477647107,-545.5799182942,-595.55107612
LOGREG_L2_100,0.8885941645,0.9020960467,0.9052799151,0.8779517113,0.8975855665,-568.5359156531,-465.2700137726,-555.7367592704,-560.3765540739,-514.431084282,-426.0452049893,-569.4150909357,-580.5214544678,-488.8470492836,-547.5934081338,-448.908797984,-375.9560183615,-595.1640801355,-516.7243833451,-544.1756981337,-545.231356607,-551.540498757,-485.3238668583,-501.3353166681,-639.1160038896
