,Accuracy,Coherence1,Coherence2,Coherence3,Coherence4
books,0.5348118524,-23.7655502978,-16.5457287054,-33.9656371781,-37.9508264547
dvd,0.5631105901,-22.4029515128,-9.478222149,-19.8471149908,-27.474595442
electronics,0.5666836129,-20.6224603736,-8.0749226277,-32.3790536953,-30.1804777017
kitchen,0.609438726,-25.5699068269,-14.9758569719,-22.5063428582,-31.1467607132
