,Accuracy,Coherence1,Coherence2,Coherence3,Coherence4
books_dvd,0.5269636577,36.555896568,61.1011969271,54.3151546779,34.7829266184
books_electronics,0.4629723776,36.555896568,61.1011969271,54.3151546779,34.7829266184
books_kitchen,0.4868906584,36.555896568,61.1011969271,54.3151546779,34.7829266184
dvd_electronics,0.4743263854,43.7209624517,36.6929697101,56.7312874869,48.8676767196
dvd_kitchen,0.5018450185,43.7209624517,36.6929697101,56.7312874869,48.8676767196
kitchen_electronics,0.560108759,44.7234427889,63.8528678097,62.3472976984,63.7286283875
