,cv1,cv2,cv3,cv4,cv5,coherence1,coherence2,coherence3,coherence4,coherence5,coherence6,coherence7,coherence8,coherence9,coherence10,coherence11,coherence12,coherence13,coherence14,coherence15,coherence16,coherence17,coherence18,coherence19,coherence20
LR_l1_c1.0_M50_OC-Auto-NPMI,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,296.7021853027,369.5627633318,408.5333110601,503.6734344204,366.58264885,380.1537373813,134.2275297492,265.8383692644,325.6728187569,245.7440683661,432.0808637539,78.042299323,356.0477617082,312.2935366874,322.8654311334,271.4030893378,308.8723267257,210.8311352061,355.9479591119,419.5173489981
LR_l1_c1.0_M100_OC-Auto-NPMI,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,999.0048102039,1712.0455299975,1642.6987579798,1854.7127465158,1581.7721651293,1739.7670674827,711.0154096352,1236.6346585638,1142.8537624511,1064.9527773126,1632.1334204418,284.2549240724,1308.8721411325,1409.7198740516,1103.9786619348,714.5274701098,921.10201763,781.2418946068,1293.4913125073,1344.3759060388
LR_l1_c1.0_M5_OC-Auto-LCP,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,-18.149846939,-20.7962456338,-28.0310653074,-16.1179056329,-23.8886045477,-28.6346059848,-26.4328541095,-22.3345680713,-34.7326885983,-25.861376892,-28.302859894,-30.1450285668,-14.5751474798,-22.2994848579,-27.8549205547,-32.1525213811,-26.2335901047,-30.850501503,-14.5047220037,-21.6489333412
LR_l1_c1.0_M20_OC-Auto-LCP,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,-612.0182580076,-600.383267946,-604.6622350542,-501.0990571512,-703.4123828259,-641.0865020989,-816.6801848048,-635.4283965783,-761.3572836346,-716.0445434517,-722.3763371861,-843.1021644917,-545.3312553979,-652.7135994413,-781.7110495592,-717.9199418937,-616.7651899071,-694.0737207589,-495.2181797458,-604.427445737
LR_l1_c1.0_M50_OC-Auto-LCP,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,-4254.1171986339,-4034.7380836069,-3751.6882584829,-3357.1085585539,-4173.8632746152,-4027.377009599,-5200.2856499107,-4398.4880204597,-4502.8244880145,-4736.1413027151,-3954.5721350011,-5321.7748471075,-4011.1933192681,-4266.6497389212,-4526.4701568408,-4616.8897596638,-4248.2793183868,-4618.7342887248,-3813.4991479004,-3811.9105158153
LR_l1_c1.0_M100_OC-Auto-LCP,0.8830238727,0.888564606,0.8949323428,0.8705226851,0.8821968692,-18159.869500531,-15864.4288848336,-15532.32644536,-14375.8757878159,-16465.8278093115,-15616.2437138175,-20949.4918075464,-18114.007449468,-17898.7128025328,-18635.9351445978,-15843.9512187052,-22008.4166587771,-16831.8232355014,-17426.7094498185,-17957.9194736744,-19216.9307125756,-18432.2531014059,-19330.8001116623,-16610.2297259805,-16317.0449596469
LR_l2_c1.0_M5_default,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,-33.4142922357,-33.6300702525,-35.0823920158,-31.1909772208,-33.6361997208,-31.0698181465,-38.7223917271,-37.0261028307,-36.6032593625,-31.5729178395,-34.1398457974,-36.3101501217,-33.5981202873,-30.7351440818,-36.8221340418,-32.6562356384,-35.2825335703,-35.9413704163,-20.5366391255,-31.7503207553
LR_l2_c1.0_M20_default,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,173.2284586931,73.4575839817,-142.5555202683,147.3440694279,151.3786246792,134.010846037,-339.4602076206,59.5501864196,35.6896053846,65.0644675517,-80.4420928143,-177.2522218374,170.4294179439,-14.361514472,104.7587953161,11.6877111029,86.4299571562,28.6515482059,117.7673458881,78.3719507788
LR_l2_c1.0_M50_default,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,-5071.1522673405,-5241.0311672305,-5543.9095278973,-5031.3813531201,-5073.2117012286,-5253.4154659047,-6400.6658572236,-5306.2990517185,-5483.8548869714,-5457.3853762804,-6007.762585628,-6248.8766833676,-5257.8614585007,-5466.592196044,-5196.880617928,-5572.6775772955,-5565.3546235592,-5346.1432417345,-5014.0113785851,-5585.8946368784
LR_l2_c1.0_M100_default,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,-20836.8221041205,-20599.076899536,-21061.9641994616,-20154.1843757169,-19823.4175470835,-20571.9476267845,-24422.9459752705,-20939.2473601055,-20975.9137211726,-21765.8902603179,-23987.9503044822,-24435.0363590957,-21891.1198638424,-21106.4432843274,-20791.7757942601,-22247.3346919712,-21888.1661092301,-21286.3457965089,-20581.4382634721,-22763.9022264026
LR_l2_c1.0_M5_OC-Auto-PMI,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,-3.267693275,4.8895731279,-5.0752211466,3.1241492022,-3.0038299013,-4.5830764994,-12.3073779638,-9.2334086161,-7.3078072415,-2.4548994809,-5.5672122221,-8.0369557138,-5.0615380031,-4.383426427,-6.151801074,-2.4375615289,-9.3741670629,-7.9262944657,8.0721992732,2.2042493021
LR_l2_c1.0_M20_OC-Auto-PMI,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,173.2284586931,73.4575839817,-142.5555202683,147.3440694279,151.3786246792,134.010846037,-339.4602076206,59.5501864196,35.6896053846,65.0644675517,-80.4420928143,-177.2522218374,170.4294179439,-14.361514472,104.7587953161,11.6877111029,86.4299571562,28.6515482059,117.7673458881,78.3719507788
LR_l2_c1.0_M50_OC-Auto-PMI,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,1706.008013202,1195.8833863407,1299.1159437458,1192.9577791901,1587.3843815879,1156.1956200915,-294.852890755,1365.1263209038,1073.7854131628,1071.0885791986,-784.2452425297,-722.1447469858,1165.9515422543,1228.6739863358,1522.3055199584,763.7084821466,788.0120270279,1215.8006448071,1837.2496682183,531.3468429664
LR_l2_c1.0_M100_OC-Auto-PMI,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,6070.2243739326,8274.1760793554,6654.8885755918,8237.247829796,8008.1207476884,8665.0572599805,229.6399766794,7258.0008199046,7370.9070677517,4637.500617827,2277.5541149647,937.8025639385,3846.7719495718,6005.2654523238,5694.4738179801,3851.5128134583,4468.0031984537,6273.6346072648,5255.9104067104,2401.7399250276
LR_l2_c1.0_M5_OC-Auto-NPMI,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,-0.3319458245,0.4967031012,-0.5155619963,0.3173640227,-0.3051414895,-0.4655679035,-1.2502344565,-0.9379679113,-0.7423573438,-0.2493788626,-0.5655404886,-0.8164272673,-0.5141720058,-0.4452866218,-0.6249254467,-0.2476176016,-0.9522667377,-0.8051858391,0.8200074541,0.2239167787
LR_l2_c1.0_M20_OC-Auto-NPMI,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,17.6131848014,7.5459884513,-14.4813805123,14.9678211801,15.3776680222,13.613377094,-34.4837746451,6.0493547181,3.6474162191,6.6095182472,-8.1716411477,-18.0060152441,17.3129265503,-1.4589021555,10.6418325585,1.1872861288,8.7895193493,2.9105430015,12.0304447038,7.9613475408
LR_l2_c1.0_M50_OC-Auto-NPMI,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,173.4455093617,121.6008797792,132.2828845206,121.5183356531,161.518043071,117.7094048515,-29.9335182539,138.8110858713,109.2007799215,108.8530002963,-79.6600669615,-73.3675693058,118.4696315699,124.881747835,154.7427290068,77.6866413832,80.1865217098,123.5060678916,186.9731856794,53.9764142598
LR_l2_c1.0_M100_OC-Auto-NPMI,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,617.2938642254,841.8285588801,677.3152407842,838.2932368802,814.505749624,883.3705824718,23.6919999694,738.0830373346,749.5846574522,471.4874696583,231.8481780553,95.6102509611,391.2043718345,610.6942102508,579.5456111173,391.8099063953,454.7421299015,637.9432530776,534.7024132373,244.281018986
LR_l2_c1.0_M5_OC-Auto-LCP,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,-33.4379650275,-33.6770100394,-35.1181521985,-31.2261521525,-33.6690622354,-31.1048365568,-38.7351688828,-37.0449830786,-36.6188836299,-31.6170168608,-34.1608863565,-36.3251831841,-33.6218808233,-30.7800832288,-36.8393703374,-32.6840893589,-35.2996259764,-35.9567500761,-20.9125951023,-31.7872682474
LR_l2_c1.0_M20_OC-Auto-LCP,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,-805.007738686,-775.4737398302,-890.7858463286,-818.6283189554,-815.8814208386,-861.0984691455,-1043.5834683823,-863.154320041,-884.8249020138,-817.9415610398,-892.3342789094,-924.8193137566,-771.0539035954,-868.4900865514,-895.4704075627,-928.4636275252,-883.5550840469,-867.8778633474,-746.5572051771,-791.8030102209
LR_l2_c1.0_M50_OC-Auto-LCP,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,-5098.6930534083,-5273.1405106863,-5604.4442207254,-5108.7670384695,-5107.6290989054,-5320.6556548668,-6428.7115969678,-5330.0419545776,-5511.7255483048,-5476.0173267809,-6017.1951887328,-6257.8979067548,-5290.4908578856,-5497.7495107359,-5254.5446083541,-5634.814565042,-5604.5996532479,-5385.2381623299,-5067.9815055659,-5606.9110581496
LR_l2_c1.0_M100_OC-Auto-LCP,0.9045092838,0.9071371717,0.9097903953,0.8896258955,0.8999734678,-20973.4964407129,-20810.2079330709,-21382.9832826582,-20512.2258735899,-20064.6800586063,-20927.0377302997,-24586.0908790865,-21085.7680191712,-21144.6570221911,-21872.8857066465,-24088.3322288396,-24548.773944937,-22040.8542699557,-21292.9162026055,-21064.0567730732,-22503.8639955192,-22084.9355716156,-21487.2197950691,-20864.7190944421,-22868.3056398713
