,correlation_accuracy_train,correlation_accuracy_test,correlation_accuracy_test_train
l2, 0.15055410112310658, 0.023699076340017118, -0.2389676211972355
l1, -0.45922046485478391, -0.41810488315121191, 0.10182610876931922
