,accuracy,cohere1-train,cohere2-train,cohere3-train,cohere4-train,cohere1-test,cohere2-test,cohere3-test,cohere4-test
LR_l2_c0.01_books_kitchen,0.5770052437,-59.8217256766,-68.3596068912,-50.9069381009,-63.5532066254,-47.4594684669,-70.5083364302,-76.5839475477,-54.8551253953
LR_l2_c0.01_dvd_electronics,0.4846636163,-70.3045532877,-71.8229476876,-73.5854058176,-73.8953770373,-50.5320278527,-62.6988063306,-67.6891851749,-62.002813156
LR_l2_c0.01_dvd_kitchen,0.5770052437,-70.3045532877,-71.8229476876,-73.5854058176,-73.8953770373,-47.4594684669,-70.5083364302,-76.5839475477,-54.8551253953
LR_l2_c0.01_electronics_kitchen,0.5770052437,-50.5320278527,-62.6988063306,-67.6891851749,-62.002813156,-47.4594684669,-70.5083364302,-76.5839475477,-54.8551253953
LR_l2_c0.1_books_dvd,0.5525595936,-34.9210150718,-37.7599309863,-43.8545469179,-43.5696642096,-46.9067901609,-27.6937754929,-46.5499646078,-51.1482529179
LR_l2_c0.1_books_electronics,0.4960176241,-34.9210150718,-37.7599309863,-43.8545469179,-43.5696642096,-34.1041846462,-26.944357488,-35.3668483463,-47.3437872355
LR_l2_c0.1_books_kitchen,0.5847737425,-34.9210150718,-37.7599309863,-43.8545469179,-43.5696642096,-28.968019726,-50.1989572093,-46.2384121473,-47.0259885049
LR_l2_c0.1_dvd_electronics,0.4960176241,-46.9067901609,-27.6937754929,-46.5499646078,-51.1482529179,-34.1041846462,-26.944357488,-35.3668483463,-47.3437872355
LR_l2_c0.1_dvd_kitchen,0.5847737425,-46.9067901609,-27.6937754929,-46.5499646078,-51.1482529179,-28.968019726,-50.1989572093,-46.2384121473,-47.0259885049
LR_l2_c0.1_electronics_kitchen,0.5847737425,-34.1041846462,-26.944357488,-35.3668483463,-47.3437872355,-28.968019726,-50.1989572093,-46.2384121473,-47.0259885049
LR_l2_c1.0_books_dvd,0.5521688159,-25.7206482874,-20.3429357246,-40.6190757735,-32.6516732074,-41.0873362733,-24.0077998043,-38.5967360647,-45.4857080968
LR_l2_c1.0_books_electronics,0.490086426,-25.7206482874,-20.3429357246,-40.6190757735,-32.6516732074,-25.6931421278,-13.9776741551,-23.3219856695,-45.0332022666
LR_l2_c1.0_books_kitchen,0.5801126432,-25.7206482874,-20.3429357246,-40.6190757735,-32.6516732074,-15.9683637775,-37.3878545856,-38.3076433667,-40.1831349891
LR_l2_c1.0_dvd_electronics,0.490086426,-41.0873362733,-24.0077998043,-38.5967360647,-45.4857080968,-25.6931421278,-13.9776741551,-23.3219856695,-45.0332022666
LR_l2_c1.0_dvd_kitchen,0.5801126432,-41.0873362733,-24.0077998043,-38.5967360647,-45.4857080968,-15.9683637775,-37.3878545856,-38.3076433667,-40.1831349891
