,Accuracy,Coherence1,Coherence2,Coherence3,Coherence4
books_dvd,0.5519734271,-25.7206482874,-20.3429357246,-40.6190757735,-32.6516732074
books_electronics,0.4753431622,-25.7206482874,-20.3429357246,-40.6190757735,-32.6516732074
books_kitchen,0.5080598174,-25.7206482874,-20.3429357246,-40.6190757735,-32.6516732074
dvd_electronics,0.4902558888,-41.0873362733,-24.0077998043,-38.5967360647,-45.4857080968
dvd_kitchen,0.5210720528,-41.0873362733,-24.0077998043,-38.5967360647,-45.4857080968
kitchen_electronics,0.5801126432,-25.6931421278,-13.9776741551,-23.3219856695,-45.0332022666
