,CV1,CV2,CV3,CV4,CV5,Coherence1,Coherence2,Coherence3,Coherence4,Coherence5,Coherence6,Coherence7,Coherence8,Coherence9,Coherence10,Coherence11,Coherence12,Coherence13,Coherence14,Coherence15,Coherence16,Coherence17,Coherence18,Coherence19,Coherence20
LogisticRegression,0.9039787798,0.907402494,0.9103210401,0.8890952507,0.9002387901,-587.9919130354,-471.2938789522,-465.7100606092,-588.2373879458,-513.3283115151,-448.2401442698,-536.037785361,-566.5769513667,-503.5216964372,-498.1073137405,-422.0862682496,-363.2182186581,-600.0274773088,-499.4177805388,-577.3738422905,-572.1750292393,-550.8903130404,-550.28599653,-511.7758973147,-610.8247089988
SGD,0.823872679,0.8540726983,0.8559299549,0.8301936853,0.8333775537,-507.0393883123,-517.7184838345,-337.4087277495,-529.561052884,-483.0160796499,-355.5614762399,-507.6855404196,-518.0899188789,-480.2814880113,-477.5730364765,-360.1057729544,-409.1040982709,-567.3084211326,-515.8019075406,-436.0512920335,-389.1872081793,-437.4329721667,-400.7231385005,-421.8976071415,-569.4082265111
Ridge,0.5976127321,0.6025470947,0.6301406209,0.6216503051,0.5921995224,-351.8888485759,-277.4101011126,-334.4744012838,-287.8379385439,-366.8111712514,-301.3437923587,-284.0474559972,-383.865097834,-319.8111137938,-259.9735723041,-425.9712203983,-321.1979864252,-380.3401067161,-313.6476605325,-319.3747031457,-267.1673919502,-269.5029839879,-284.006075436,-320.8198084867,-349.2748460371
PassiveAggressive,0.8920424403,0.891483152,0.8941363757,0.8763597771,0.8832581587,-582.3664056379,-528.4276826177,-557.2151183731,-532.3192417771,-485.7570397501,-433.8881527937,-639.7105995304,-582.1474836006,-550.6677883613,-493.4901890241,-369.2978039842,-345.5808511625,-569.296662452,-520.4387857562,-503.6579926779,-495.6496006184,-591.7556200883,-488.4464859293,-518.5088732351,-638.3222504673
