,accuracy,cohere1-train,cohere2-train,cohere3-train,cohere4-train,cohere1-test,cohere2-test,cohere3-test,cohere4-test
LR_l2_c10.0_electronics,0.5634638197,-17.6564173836,-10.1444806618,-13.2114123128,-23.9969035312,-22.4625399401,-9.3900911433,-7.6361993604,-34.781026053
LR_l2_c10.0_kitchen,0.6082734512,-22.6802149429,-11.0975771155,-7.9827755291,-27.7195806723,-15.9683637775,-27.8586698535,-25.9143907091,-35.0167089188
LR_l2_c100.0_books,0.5288129431,-16.5765189949,4.2297441209,-19.2697131817,-21.8208689101,-14.6159972415,-17.1183561561,-17.7024781798,-24.3247091098
LR_l2_c100.0_dvd,0.5566627589,-13.8428573744,-0.2357456887,-11.7917363558,-18.3405319096,-33.2295264934,-12.8894526328,-33.6810924482,-39.3802592746
LR_l2_c100.0_electronics,0.558888324,-8.8024579216,-6.954858376,-13.2114123128,-23.89711959,-22.7228176447,-1.8162652914,-6.1805475055,-28.9914711359
LR_l2_c100.0_kitchen,0.6016702272,-18.4271111662,-6.5015087325,-7.8201283135,-24.6453500242,-16.2312407888,-10.1388160182,-26.496211004,-32.3754243255
LR_l2_c1000.0_books,0.5277222323,-16.5765189949,4.2619533827,-14.6246815855,-21.8208689101,-14.6159972415,-11.633607643,-17.7024781798,-24.3247091098
LR_l2_c1000.0_dvd,0.5545134818,-20.9927797805,4.6031952427,-2.6212390714,-18.3405319096,-33.5649784195,-12.8894526328,-32.5323261914,-39.4349796623
LR_l2_c1000.0_electronics,0.5585493984,-8.8024579216,-6.954858376,-13.9470830129,-17.7859165384,-22.5519500064,-0.9757176415,-6.2597965122,-27.0196394959
LR_l2_c1000.0_kitchen,0.5987570402,-18.4271111662,-8.2509454193,-9.5034840694,-24.6453500242,-16.3962428768,-10.1945261089,-25.221071219,-32.4250312677
